method_key,description,event_def,cv,n,mean_m,median_m,rmse_m,q80_m,q95_m,notes,hits_50m_overall
m13_drop_asymptote_h0.5,"BEST: max-RSSI errW trilat, DROP RSSI<=asymptote, height 0.5m, 90s",90s/h0.5/drop,block5,1082,113.3,73.3,,172.9,,"drop helps all heights (1m 82.8, 2m 84.9, 3m 86.1); low tags best",False
m14_blair1m_150s_drop_errW,"1m height, 150s, drop<=asymptote, errW (all levers combined)",150s/h1/drop+errW,block5,618,125.3,78.1,,188.5,,rmax>=-75 -> 50m on 47% of fixes,False
m14_blair1m+martin_150s,same + Martin(=1m) added to training; test=Blair 1m,150s/h1/drop+errW,block5(test=Blair),618,129.5,79.5,,205.2,,Martin adds nothing (3rd confirmation),False
m12_maxrssi_errW_150s,"max-RSSI trilat + error weight 1/(rmse_node^2*dist^2), 150s (pooled heights)",150s/maxrssi+errW,block5,2836,137.7,81.4,,224.4,,per-node-bin weighting hurts here,False
m11_blair_150s_maxrssi_trilat,"same, 150s windows (accuracy plateau)",150s/maxrssi,block5,2836,138.6,82.8,,229.0,,plateau; rmax>=-75 -> 48m on 48% of fixes,False
m11_blair_180s_maxrssi_trilat,"same, 180s windows",180s/maxrssi,block5,2380,136.2,83.5,,237.3,,no gain past 150s; rmax>=-75 -> 49m on 51% of fixes,False
m13_assign750_h0.5,same but assign 750m to sub-asymptote (~= baseline),90s/h0.5/assign750,block5,1184,124.2,84.6,,194.9,,negligible vs clamp-1000 baseline,False
m11_blair_120s_maxrssi_trilat,"same, 120s windows",120s/maxrssi,block5,3535,143.9,88.9,,234.0,,coarse temporal res / smear,False
m12_maxrssi_errW_90s,"max-RSSI trilat + error weight 1/(rmse_node^2*dist^2), 90s",90s/maxrssi+errW,block5,4663,145.2,94.5,,234.5,,error weighting adds ~1m vs 1/dist^2,False
m7_kierlivia_global_valid,"Global Kierlivia curve, NLS on Blair 2m tags, valid-domain (strong) nodes only",8s/2m,train=Kierlivia/test=Blair,819,126.9,95.1,166.2,193.8,347.3,only 8% of fixes have >=3 nodes > -88.6 dBm; rmax>=-70 -> 46m,False
m11_blair_90s_maxrssi_trilat,"BEST: same, 90s windows (sweet spot)",90s/maxrssi,block5,4663,144.9,95.5,,235.7,,rmax>=-80 -> 48m on 52% of fixes; longer window=more position smear,False
m1b_trilat_strong,"NLS, only nodes rssi>-90 (>=3) + weight",1s,block5,90,123.2,99.3,153.3,205.1,314.1,tiny subset: rare strong-geometry,False
m10_blair_60s_maxrssi_trilat,"trilat: Blair, 60s windows, MAX rssi/node + mean GPS, 1000m gate, w2 top-k",60s/maxrssi,block5,6975,153.9,104.4,223.1,248.1,448.4,rmax>=-80 -> 52m on 44% of fixes,False
m8_combine_blair_martin,"BEST method (centroid+RF residual), training augmented with Martin",8s,block5 (test=Blair),36385,170.2,127.5,227.6,275.8,481.1,= Blair-only (129m); Martin adds nothing,False
m6_centroid_residRF,BEST: weighted centroid + RF residual correction (geom features),8s,block5,36385,170.5,127.9,228.1,275.6,481.9,best overall,False
m4_fingerprint_RF_rand,"same, but random (leaky) CV for reference",8s,random5,20288,200.0,160.4,,,,optimistic; not honest,False
m3_centroid_p6,"RSSI-weighted centroid (signal^6), 8s windows",8s,block5,36385,206.6,160.6,266.1,313.9,564.4,approaches snap-to-strongest,False
m8_martin_only_transfer,"BEST method trained on Martin only, predicted to Blair",8s,train=Martin/test=Blair,36385,212.5,161.3,272.8,335.5,576.0,transfers but worse; diff network/year,False
m3_centroid_p4,"RSSI-weighted centroid (signal^4), 8s windows",8s,block5,36385,210.6,163.3,270.2,326.3,570.8,,False
m1_trilat_1s_w2_topk,"NLS multilateration + inverse-dist^2 weight, top-k strong nodes",1s,block5,37960,220.1,175.9,286.0,355.6,589.2,,False
m2_trilat_win8,"NLS multilateration on 8s windows, weighted, top-8 nodes",8s,block5,36385,223.8,179.4,286.7,348.7,592.3,,False
m7_kierlivia_global_all,"Global Kierlivia curve (perp,2m) -> NLS on Blair 2m tags, all nodes",8s/2m,train=Kierlivia/test=Blair,10224,246.5,197.2,311.2,404.2,635.4,cross-dataset; ~= Blair's own 2m curve (188m),False
m9_comb_gated_trilat_all,"same, test=both Blair+Martin",1s/gate500,block5,18000,250.0,200.7,323.9,382.1,676.5,curve pooled vs Blair-only: no difference,False
m9_comb_gated_trilat_blair,"m1 trilat (1s,w2,topk), Blair+Martin pooled, events gated to >=3 nodes within 500m of strongest node; test=Blair",1s/gate500,block5,16142,250.8,202.5,323.0,381.2,674.1,gate does NOT help vs ungated m1 (176m),False
m0_trilat_1s_global,"NLS multilateration, global curve, unweighted (user's method 1)",1s,block5,37960,256.8,214.6,310.7,378.4,618.6,baseline,False
m5_bayes_grid,Bayesian grid posterior-mean over 20m cells,8s,block5,5000,339.4,240.9,434.8,566.7,915.3,diffuse posterior -> centre bias,False
m4_fingerprint_RF,RF on full per-node RSSI vector -> xy (fingerprinting),8s,block5,36385,691.5,679.3,765.0,993.0,1281.0,"FAILS: single-pass walk, no spatial revisits",False
